,tweet_id,engaging_user_id,probability,prediction
0,04746004AA1F5498834CE7A4C6343D1A,00000776B07587ECA9717BFC301F2D6E,"[0.9308004724667949,0.06919952753320502]",0.0
1,B5C4CBE185831F3E5A58A4D81118D4C7,00000776B07587ECA9717BFC301F2D6E,"[0.7528669465965638,0.24713305340343616]",0.0
2,6B6836351BFAA6D1CC1EB0386BCB8C6A,00000B85AAF7DE172876FD96718C4469,"[0.9132654319298392,0.0867345680701607]",0.0
3,0DCF558E40500F22F84F98C4E7C38EDC,00000E0C9B364891CDE89ECFC54771DE,"[0.9134733333365258,0.08652666666347418]",0.0
4,F13AA57F12DD6107D9D8544A27BDE9EC,0000109A57AFA64758EE4AAE2A01BFC7,"[0.9058293676201888,0.09417063237981124]",0.0
5,01ADD87BE33683487889D721B5DD3910,00001607209C5774DF9207A2AC0EED5F,"[0.9150484478593359,0.08495155214066413]",0.0
6,5E35903C153D1CA5503B8AD186A652F3,00001607209C5774DF9207A2AC0EED5F,"[0.931078761344506,0.06892123865549406]",0.0
7,7B5C160AE47825DD4DABFEE9C99B8D26,00001607209C5774DF9207A2AC0EED5F,"[0.8680316636244181,0.13196833637558197]",0.0
8,4E5E35BB70F2076B53DF8F8AD5D07DBF,00002E504FA95B3BC259937F4F6E9E7E,"[0.9226560300426501,0.0773439699573499]",0.0
9,686E12F43EE6BE0638B771248C9C2FE7,00002EBA27A6215AD7FCB28362CB17D2,"[0.8761078729682998,0.12389212703170023]",0.0
10,7083E29C30195AD3B5591C0C4FBBF0E4,00002F72BEAEE4940685C86600211BFF,"[0.9276736366031452,0.07232636339685482]",0.0
11,9BB3297D53E377D594BD040CD91DB1F8,00003106185A9399D0A102A1175634DD,"[0.8803737980009396,0.11962620199906045]",0.0
12,9246D270965112C2F42C78E48D43BB71,0000376314CAC0A3E9D4FCF4A29004D6,"[0.8825448335044435,0.11745516649555651]",0.0
13,BCC3C7E94B524BF07D8488F22221A14A,00003E644C0C03C285097B676C93C18A,"[0.9077909419537994,0.09220905804620069]",0.0
14,FD4CF58B67E9D946D7EE58FEFC27BC02,00003E644C0C03C285097B676C93C18A,"[0.8791271394093709,0.12087286059062921]",0.0
15,B37A53483DACB2445CFB1A7D1D9971D2,000051F7DBE0F3EF809EEE9E472F3217,"[0.8763983178558377,0.12360168214416231]",0.0
16,FBD529172CF647B432B3248ABE051FAC,000052B88E27886C4DAEF585806A67BC,"[0.9023558120448467,0.09764418795515334]",0.0
